account_id,customer_id,branch_id,account_type,balance,open_date,status
1,21323,45,Savings,68326.03,2026-04-19 19:18:46.871131,Active
2,8335,6,Current,58336.03,2023-08-29,Inactive
3,7294,31,Savings,83973.71,2025-07-02,Mature
4,2239,2,Loan,3905.18,2024-03-24,Closed
5,40580,6,Savings,88418.33,2025-09-18,Inactive
6,7237,18,Current,86985.77,2025-01-17,Inactive
7,12431,1,Loan,24073.47,2027-05-09 19:18:46.871131,Unknown
8,22902,14,Savings,42010.6,2023-10-20,Active
9,2162,28,Savings,63622.95,2023-01-28,Active
10,47706,20,Checking,9217.35,2022-12-31,Active
11,9628,21,Current,97096.68,2021-06-13,Active
12,30679,18,FD,43107.37,2025-09-13,Inactive
13,43740,14,Random,58854.29,2024-02-05,Mature
14,10947,43,FD,39216.7,2028-01-10 19:18:46.871131,Active
15,38813,32,Checking,92664.34,2024-04-11,Mature
16,22030,5,Loan,61401.33,2023-01-30,Unknown
17,9255,15,FD,87153.85,2021-07-09,Active
18,13863,29,Current,52770.08,2022-12-16,Mature
19,5390,24,Current,63532.63,2021-10-20,Active
20,48598,20,Savings,13813.14,2026-01-19,Mature
21,5450,15,Savings,74357.02,2022-11-11,Blocked
22,21126,47,Current,95074.3,2027-05-02 19:18:46.871131,Inactive
23,47328,2,Savings,44281.86,2024-10-04,Active
24,36231,16,Checking,49033.14,2026-05-31 19:18:46.871131,Blocked
25,27201,50,Savings,74231.19,2023-06-28,Inactive
26,6839,26,Current,67971.01,2027-12-04 19:18:46.871131,Inactive
27,32782,16,Current,38838.64,2027-02-01 19:18:46.871131,Unknown
28,12158,40,FD,81624.74,2027-12-16 19:18:46.871131,Inactive
29,18835,21,Loan,96706.47,2023-11-07,Blocked
30,47888,12,Current,52463.0,2024-06-01,Inactive
31,42422,43,FD,94137.17,2023-05-15,Closed
32,46447,10,FD,21362.42,2025-12-13,Active
33,19197,24,Current,89073.04,2021-06-12,Inactive
34,2313,12,Current,62891.55,2026-04-19 19:18:46.871131,Mature
35,29808,45,Current,53852.48,2023-07-14,Inactive
36,6154,38,Current,66594.61,2023-09-10,Inactive
37,6651,17,Current,97151.82,2022-07-20,Closed
38,40467,27,Savings,5060.13,2027-07-09 19:18:46.871131,Inactive
39,35247,9,Current,86421.67,2022-09-26,Mature
40,4980,44,Loan,60894.87,2022-07-19,Active
41,49350,4,Checking,93501.99,2024-04-23,Mature
42,35753,26,Savings,69863.56,2025-09-23,Inactive
43,31523,2,Savings,55405.01,2023-05-25,Mature
44,15433,15,FD,46854.92,2024-10-23,Active
45,31326,39,Current,80744.25,2022-06-15,Inactive
46,38093,10,Loan,45958.87,2024-07-02,Mature
47,42564,26,Savings,6003.47,2025-08-14,Mature
48,4536,44,Checking,91135.26,2022-01-17,Inactive
49,3494,12,Savings,71288.38,2023-03-20,Unknown
50,22146,35,Savings,29766.43,2021-10-22,Active
51,39896,3,Current,68463.28,2023-04-05,Closed
52,28443,24,Savings,38465.73,2023-03-18,Blocked
53,9175,1,Savings,54025.99,2022-06-01,Mature
54,39287,15,Savings,68574.86,2024-04-20,Active
55,40818,45,Savings,27019.35,2027-12-28 19:18:46.871131,Unknown
56,19922,42,Loan,94363.54,2022-03-02,Mature
57,15588,11,Savings,53252.54,2022-05-02,Blocked
58,20597,10,Checking,62049.95,2024-06-05,Blocked
59,908,32,Loan,32759.89,2022-08-04,Unknown
60,1148,27,Current,48692.84,2021-11-29,Closed
61,20842,27,Loan,18458.67,2021-05-19,Active
62,15083,22,FD,65996.86,2025-08-12,Active
63,2389,23,Current,67361.98,2027-01-15 19:18:46.871131,Inactive
64,331,11,Current,60710.93,2022-05-30,Active
65,5771,37,FD,37323.6,2022-07-30,Mature
66,47439,30,Savings,61024.38,2021-11-23,Active
67,49449,11,FD,35575.83,2025-07-11,Unknown
68,35329,1,FD,9402.48,2026-01-18,Mature
69,22572,49,Loan,38641.26,2025-01-31,Mature
70,3678,30,Savings,1619.6,2022-12-31,Inactive
71,10839,18,FD,64622.4,2024-05-19,Mature
72,11705,25,Savings,66290.05,2024-10-08,Mature
73,42606,48,FD,23377.77,2025-02-16,Active
74,49121,18,Current,64787.3,2022-06-12,Mature
75,27287,48,Savings,82602.64,2025-11-01,Inactive
76,32290,16,Savings,23267.24,2021-07-16,Mature
77,2351,16,Savings,68347.52,2025-10-17,Active
78,26865,19,Current,89891.26,2025-05-28,Closed
79,45556,49,Savings,64344.27,2026-10-20 19:18:46.871131,Mature
80,15881,3,FD,50227.44,2025-12-06,Inactive
81,4171,1,Current,99502.17,2022-07-06,Inactive
82,43624,18,Loan,9909.51,2026-11-28 19:18:46.871131,Inactive
83,36728,15,Savings,89447.87,2027-07-30 19:18:46.871131,Mature
84,3927,39,Savings,83437.53,2021-08-17,Inactive
85,24507,17,FD,88287.78,2024-12-09,Blocked
86,39362,13,FD,43874.78,2021-12-05,Inactive
87,21116,47,FD,27768.19,2023-02-08,Mature
88,44331,14,Savings,96333.39,2022-11-01,Active
89,18758,8,FD,90912.95,2028-06-05 19:18:46.871131,Closed
90,25712,4,FD,56240.62,2025-09-29,Active
91,41172,35,Current,31743.26,2026-06-09 19:18:46.871131,Mature
92,48076,15,Current,56852.98,2022-01-29,Mature
93,2609,15,Current,66807.28,2022-05-15,Inactive
94,20053,33,FD,6234.47,2021-05-18,Active
95,14243,22,Savings,90383.6,2028-01-30 19:18:46.871131,Active
96,41521,47,Current,97550.35,2025-08-03,Mature
97,11891,50,Checking,50218.36,2022-01-10,Mature
98,8843,36,Savings,89560.74,2022-09-17,Mature
99,38689,9,Checking,62253.12,2024-09-30,Unknown
100,24172,5,Current,45448.63,2022-05-08,Mature
101,34992,17,Savings,75759.21,2025-04-12,Mature
102,48337,30,Savings,20369.99,2021-12-27,Mature
103,1792,45,FD,55659.66,2027-07-23 19:18:46.871131,Inactive
104,42000,13,Savings,45026.04,2023-10-22,Inactive
105,592,22,FD,18006.69,2023-06-22,Inactive
106,9989,2,FD,13915.29,2021-04-27,Mature
107,29150,49,Savings,5176.89,2027-07-01 19:18:46.871131,Mature
108,28673,3,Loan,54815.78,2024-10-31,Unknown
109,14627,28,FD,56276.59,2027-10-02 19:18:46.871131,Active
110,41629,36,Loan,60489.9,2021-06-18,Closed
111,11986,8,Random,68541.11,2026-01-07,Active
112,40746,44,FD,71182.79,2027-03-16 19:18:46.871131,Active
113,39196,7,Current,25734.57,2024-06-22,Mature
114,23988,1,Loan,80424.42,2024-05-29,Active
115,42203,34,Current,32064.72,2026-04-11 19:18:46.871131,Blocked
116,19046,2,Random,16614.32,2023-06-01,Mature
117,20018,1,FD,25999.79,2022-01-09,Inactive
118,20558,16,Current,46993.65,2022-06-06,Inactive
119,40118,10,Current,34053.37,2022-05-30,Inactive
120,2707,3,Current,85592.88,2023-01-18,Mature
121,2842,48,FD,8034.64,2023-11-04,Mature
122,13384,49,Savings,77082.72,2027-10-31 19:18:46.871131,Inactive
123,28857,2,Loan,93145.87,2023-12-17,Mature
124,26679,27,Savings,33102.32,2021-09-15,Inactive
125,29542,1,FD,77106.02,2021-08-07,Inactive
126,45975,17,Current,71775.83,2025-06-10,Mature
127,3082,13,Savings,56429.48,2022-04-11,Active
128,30776,28,FD,20432.09,2028-10-04 19:18:46.871131,Active
