loan_id,customer_id,account_id,loan_type,principle,interest,term_months,status,start_date,end_date
1,15384,23835,Home,-1000.0,8.15,60,Active,2024-10-07,2025-08-05 19:18:46.871131
2,12173,17010,,-1000.0,6.94,51,Active,2026-07-31 19:18:46.871131,2027-05-18
3,9699,42547,Home,-1000.0,12.24,0,Closed,2023-08-21,2026-11-07
4,43533,14693,Car,137948.17,-5.0,58,Active,2026-01-20,2029-03-13
5,33329,67334,,45389.83,6.47,30,Closed,2025-05-15,2027-12-16
6,9577,16776,Home,362552.07,6.54,42,Active,2025-02-11,2025-09-21 19:18:46.871131
7,6996,23396,Home,-1000.0,6.8,0,Closed,2023-10-15,2024-06-25
8,32164,1097,Personal,0.0,12.25,0,Closed,2023-10-22,2025-05-21
9,31183,1355,Personal,206708.07,13.92,14,Active,2023-09-11,2025-04-11
10,20945,20365,Personal,457487.63,13.49,12,Closed,2024-10-16,2026-07-23
11,25777,11125,Home,-1000.0,6.11,51,Active,2023-02-18,2026-05-29
12,27347,20915,Home,81796.38,8.76,40,Active,2023-07-15,2025-07-19
13,11353,48439,Personal,395495.27,5.87,41,Active,2027-04-22 19:18:46.871131,2027-01-28
14,33539,49388,,236741.93,11.87,27,Active,2026-06-21 19:18:46.871131,2026-05-01
15,48302,39769,Home,486744.61,6.67,0,Closed,2027-06-11 19:18:46.871131,2025-01-09
16,16880,6815,Car,294341.18,13.78,46,Active,2026-08-09 19:18:46.871131,2027-12-15
17,26846,54470,Home,0.0,7.44,13,Closed,2025-08-08,2026-04-08
18,6877,63065,Home,0.0,7.86,60,Closed,2023-12-25,2026-06-26
19,44269,32051,Car,-1000.0,13.39,52,Active,2024-09-04,2025-07-06
20,4627,2498,Home,196340.21,-5.0,40,Active,2023-12-04,2025-08-18 19:18:46.871131
21,9286,59015,Home,164699.65,6.54,21,Active,2023-12-17,2025-07-11
22,42844,69457,Personal,108380.21,9.83,60,Closed,2025-08-15,2029-06-08
23,40275,44757,Personal,-1000.0,5.31,15,Active,2025-07-18,2025-04-12 19:18:46.871131
24,48155,13067,Home,327779.01,9.0,13,Closed,2027-02-23 19:18:46.871131,2023-06-05
25,6469,38618,Car,443887.84,9.12,15,Active,2025-01-28,2027-04-03
26,30337,10891,Personal,395894.46,6.28,21,Closed,2025-05-10,2028-02-28
27,40419,5285,Home,178717.64,14.99,34,Closed,2025-06-17,2026-05-16
28,46463,53608,,446744.85,6.36,33,Active,2023-02-25,2026-10-17
29,45315,49155,Home,141363.22,-5.0,20,Closed,2025-01-07,2025-11-19
30,48643,36892,,0.0,12.67,46,Closed,2027-04-13 19:18:46.871131,2028-04-17
31,126,18715,Home,170978.76,14.21,43,Closed,2023-12-27,2025-06-29 19:18:46.871131
32,40832,39733,Home,460226.05,-5.0,50,Active,2024-08-03,2025-11-14
33,33415,7439,Car,126700.81,14.49,0,Closed,2024-11-18,2027-03-22
34,22774,24790,Car,30492.08,11.0,35,Active,2024-02-24,2027-07-15
35,19739,68062,Personal,275118.51,10.2,32,Active,2026-10-27 19:18:46.871131,2028-01-04
36,9293,22443,,12707.34,12.52,0,Active,2025-12-17,2030-01-18
37,13535,50577,Personal,266489.52,10.85,48,Active,2023-05-24,2024-02-07
38,5615,26264,Personal,43594.18,12.44,0,Active,2023-07-28,2026-02-14
39,17664,45096,Home,-1000.0,6.6,22,Closed,2026-07-25 19:18:46.871131,2027-09-09
40,39165,13073,Personal,285037.29,7.4,42,Closed,2023-04-08,2024-08-23
41,49833,38280,Home,196930.77,-5.0,29,Active,2024-11-28,2027-09-08
42,13138,27809,Home,452135.76,5.67,16,Active,2026-11-01 19:18:46.871131,2026-01-12 19:18:46.871131
43,31182,5768,Personal,-1000.0,7.82,12,Active,2025-05-14,2028-01-13
44,36781,46091,Car,-1000.0,-5.0,12,Closed,2025-09-07,2027-10-13
45,46395,6152,Car,-1000.0,8.39,51,Active,2025-02-12,2028-10-22
46,37269,64683,Personal,0.0,12.73,0,Closed,2026-07-06 19:18:46.871131,2025-01-05
47,19394,45880,Personal,467579.45,6.1,17,Closed,2026-12-15 19:18:46.871131,2025-03-31 19:18:46.871131
48,9312,43627,Personal,384143.68,7.36,0,Closed,2024-07-08,2025-12-26
49,15889,16605,Home,-1000.0,14.6,0,Active,2025-12-07,2028-03-21
50,49111,9536,,52248.53,-5.0,21,Closed,2025-06-21,2025-04-24 19:18:46.871131
51,29889,35960,Personal,-1000.0,8.6,26,Closed,2026-12-08 19:18:46.871131,2027-03-28
52,14365,10002,Home,25684.05,-5.0,45,Active,2025-11-25,2028-05-05
53,12606,27250,,157010.75,10.4,23,Active,2024-07-28,2026-01-29
54,49776,22844,,379286.34,14.12,33,Active,2024-07-09,2026-11-30
55,13823,58689,Car,470112.91,8.61,57,Closed,2024-08-03,2028-07-23
56,7933,38811,,361929.83,14.81,0,Active,2027-05-01 19:18:46.871131,2025-02-04
57,3625,10551,Personal,332126.18,9.03,59,Closed,2023-08-25,2025-10-18
58,38481,64874,,181887.33,12.74,0,Closed,2024-03-15,2026-01-06 19:18:46.871131
59,19531,7217,Car,83514.93,9.32,12,Active,2025-12-03,2025-08-05 19:18:46.871131
60,42421,5732,Home,38982.97,-5.0,15,Active,2026-03-06 19:18:46.871131,2026-08-08
61,6998,50195,,0.0,10.91,34,Active,2023-08-07,2026-03-17
62,22219,36350,Personal,0.0,7.55,17,Active,2024-12-07,2028-06-28
63,23211,16898,Car,83366.15,6.31,12,Active,2023-07-05,2024-10-11 19:18:46.871131
64,45182,46841,,-1000.0,-5.0,0,Closed,2023-04-12,2024-10-16
65,17130,69923,Car,421789.39,14.96,17,Active,2023-07-22,2024-06-23
66,38561,20784,Home,412629.72,7.53,19,Closed,2026-08-01 19:18:46.871131,2028-03-22
