transaction_id,account_id,transaction_date,transaction_type,amount,channel,status,start_date,end_date
1,21290,2025-12-02,Debit,3291.4,UPI,Failed,2025-12-02,2025-12-03
2,48913,2024-03-17,Debit,29940.67,UPI,Failed,2024-03-17,2024-03-18
3,26625,2026-08-04 19:18:46.871131,Debit,46068.35,ATM,Success,2026-08-04 19:18:46.871131,2026-08-05 19:18:46.871131
4,67950,2024-03-31,Credit,10989.72,NetBanking,Success,2024-03-31,2024-04-01
5,2169,2024-05-04,Credit,27106.09,ATM,Failed,2024-05-04,2024-05-05
6,35096,2024-12-06,Debit,19675.85,UPI,Failed,2024-12-06,2024-12-07
7,38722,2026-01-10,Debit,33492.92,NetBanking,Success,2026-01-10,2026-01-11
8,11798,2024-06-02,Credit,-100.0,NetBanking,Failed,2024-06-02,2024-06-03
9,32169,2025-06-01,Debit,26420.89,UPI,Success,2025-06-01,2025-06-02
10,47427,2027-03-08 19:18:46.871131,Credit,-100.0,UPI,Success,2027-03-08 19:18:46.871131,2027-03-09 19:18:46.871131
11,54620,2024-12-22,Debit,-100.0,NetBanking,Success,2024-12-22,2024-12-23
12,51642,2024-07-14,Debit,0.0,NetBanking,Failed,2024-07-14,2024-07-15
13,69669,2025-09-27,Credit,29223.86,ATM,Failed,2025-09-27,2025-09-28
14,55765,2024-05-25,Credit,24265.25,ATM,Failed,2024-05-25,2024-05-26
15,50367,2025-08-10,Credit,5444.45,NetBanking,Failed,2025-08-10,2025-08-11
16,28884,2024-12-24,Credit,5486.71,UPI,Failed,2024-12-24,2024-12-25
17,43050,2024-05-06,Debit,43887.01,UPI,Failed,2024-05-06,2024-05-07
18,7018,2024-05-29,Debit,21566.08,NetBanking,Success,2024-05-29,2024-05-30
19,67966,2025-04-23,Credit,10203.73,ATM,Success,2025-04-23,2025-04-24
20,69968,2026-01-07,Credit,-100.0,ATM,Failed,2026-01-07,2026-01-08
21,15761,2026-06-15 19:18:46.871131,Credit,38602.54,NetBanking,Failed,2026-06-15 19:18:46.871131,2026-06-16 19:18:46.871131
22,17134,2024-04-08,Debit,26269.42,UPI,Success,2024-04-08,2024-04-09
23,7469,2025-12-31,Credit,47279.37,UPI,Failed,2025-12-31,2026-01-01
24,62184,2024-07-15,Credit,8588.34,UPI,Success,2024-07-15,2024-07-16
25,9733,2024-02-23,Credit,46601.48,NetBanking,Success,2024-02-23,2024-02-24
26,3448,2025-11-23,Credit,29060.12,ATM,Failed,2025-11-23,2025-11-24
27,52144,2025-12-22,Debit,49256.27,UPI,Success,2025-12-22,2025-12-23
28,29799,2025-06-07,Debit,43840.02,NetBanking,Success,2025-06-07,2025-06-08
29,46660,2025-11-19,Credit,29584.56,UPI,Success,2025-11-19,2025-11-20
30,9401,2026-01-18,Credit,40924.63,ATM,Success,2026-01-18,2026-01-19
31,11051,2025-05-19,Credit,45413.11,NetBanking,Success,2025-05-19,2025-05-20
32,9191,2025-03-20,Credit,10258.07,UPI,Success,2025-03-20,2025-03-21
33,50176,2024-06-14,Credit,1617.8,NetBanking,Success,2024-06-14,2024-06-15
34,9532,2027-01-16 19:18:46.871131,Credit,47835.58,UPI,Success,2027-01-16 19:18:46.871131,2027-01-17 19:18:46.871131
35,7477,2025-07-09,Debit,0.0,NetBanking,Failed,2025-07-09,2025-07-10
36,10613,2024-10-29,Credit,21337.05,UPI,Failed,2024-10-29,2024-10-30
37,16595,2025-03-05,Debit,1474.64,NetBanking,Failed,2025-03-05,2025-03-06
38,5171,2025-11-25,Credit,-100.0,ATM,Failed,2025-11-25,2025-11-26
39,7229,2024-12-17,Debit,26753.93,ATM,Success,2024-12-17,2024-12-18
40,46457,2024-04-07,Debit,11579.65,UPI,Failed,2024-04-07,2024-04-08
41,44389,2025-02-23,Debit,3016.5,UPI,Success,2025-02-23,2025-02-24
42,34308,2024-04-28,Credit,5931.24,UPI,Failed,2024-04-28,2024-04-29
43,2524,2025-10-16,Debit,0.0,NetBanking,Success,2025-10-16,2025-10-17
44,56682,2026-01-23,Debit,11272.86,ATM,Failed,2026-01-23,2026-01-24
45,23856,2026-01-16,Credit,35336.34,UPI,Failed,2026-01-16,2026-01-17
46,18503,2027-02-01 19:18:46.871131,Credit,40355.11,ATM,Failed,2027-02-01 19:18:46.871131,2027-02-02 19:18:46.871131
47,12944,2026-01-21,Debit,47036.92,UPI,Success,2026-01-21,2026-01-22
48,62053,2025-06-13,Credit,12965.58,UPI,Failed,2025-06-13,2025-06-14
49,48215,2027-01-01 19:18:46.871131,Credit,22740.08,ATM,Success,2027-01-01 19:18:46.871131,2027-01-02 19:18:46.871131
50,37592,2025-11-25,Credit,31904.19,NetBanking,Failed,2025-11-25,2025-11-26
51,37785,2027-06-12 19:18:46.871131,Debit,-100.0,NetBanking,Failed,2027-06-12 19:18:46.871131,2027-06-13 19:18:46.871131
52,41899,2024-07-22,Credit,0.0,ATM,Failed,2024-07-22,2024-07-23
53,16983,2025-02-14,Credit,27070.41,UPI,Failed,2025-02-14,2025-02-15
54,25873,2027-06-07 19:18:46.871131,Debit,23685.74,UPI,Success,2027-06-07 19:18:46.871131,2027-06-08 19:18:46.871131
55,8510,2024-03-04,Debit,39261.66,UPI,Success,2024-03-04,2024-03-05
56,26825,2024-11-30,Credit,22438.65,ATM,Failed,2024-11-30,2024-12-01
57,25249,2024-11-04,Credit,30098.68,ATM,Failed,2024-11-04,2024-11-05
58,2630,2025-05-14,Debit,16660.1,ATM,Failed,2025-05-14,2025-05-15
59,41816,2027-04-05 19:18:46.871131,Debit,-100.0,UPI,Failed,2027-04-05 19:18:46.871131,2027-04-06 19:18:46.871131
60,31983,2024-03-23,Credit,44762.54,ATM,Failed,2024-03-23,2024-03-24
61,18155,2024-07-16,Credit,44113.95,ATM,Success,2024-07-16,2024-07-17
62,41259,2026-12-12 19:18:46.871131,Debit,-100.0,NetBanking,Success,2026-12-12 19:18:46.871131,2026-12-13 19:18:46.871131
63,68153,2024-11-12,Credit,0.0,UPI,Success,2024-11-12,2024-11-13
64,61607,2026-02-06,Debit,8709.56,ATM,Failed,2026-02-06,2026-02-07
65,44036,2025-08-18,Debit,2438.25,NetBanking,Success,2025-08-18,2025-08-19
66,6737,2025-10-08,Credit,18700.73,NetBanking,Failed,2025-10-08,2025-10-09
67,26709,2024-07-24,Credit,16751.82,ATM,Success,2024-07-24,2024-07-25
68,5172,2024-11-20,Debit,18249.81,NetBanking,Failed,2024-11-20,2024-11-21
69,52979,2025-09-24,Debit,5208.51,UPI,Success,2025-09-24,2025-09-25
70,46010,2025-10-08,Credit,36678.59,NetBanking,Success,2025-10-08,2025-10-09
71,41348,2024-07-03,Debit,0.0,NetBanking,Success,2024-07-03,2024-07-04
72,64069,2024-11-25,Credit,43325.46,NetBanking,Success,2024-11-25,2024-11-26
73,22437,2024-12-03,Credit,48173.34,ATM,Failed,2024-12-03,2024-12-04
74,44608,2027-01-18 19:18:46.871131,Credit,0.0,ATM,Failed,2027-01-18 19:18:46.871131,2027-01-19 19:18:46.871131
75,10828,2024-08-25,Debit,24249.88,UPI,Success,2024-08-25,2024-08-26
76,37062,2025-06-11,Debit,743.78,ATM,Failed,2025-06-11,2025-06-12
77,36247,2025-06-14,Debit,23318.72,ATM,Success,2025-06-14,2025-06-15
78,63895,2025-10-14,Debit,-100.0,NetBanking,Success,2025-10-14,2025-10-15
79,39478,2024-11-02,Credit,36339.6,UPI,Success,2024-11-02,2024-11-03
80,53911,2024-10-28,Credit,10265.69,UPI,Success,2024-10-28,2024-10-29
81,62521,2024-11-14,Debit,28672.04,NetBanking,Failed,2024-11-14,2024-11-15
82,37521,2025-01-31,Credit,23654.99,NetBanking,Success,2025-01-31,2025-02-01
83,19260,2024-10-07,Credit,36045.49,NetBanking,Failed,2024-10-07,2024-10-08
84,40597,2025-04-27,Credit,34273.55,NetBanking,Failed,2025-04-27,2025-04-28
85,24287,2025-12-22,Credit,48808.05,NetBanking,Success,2025-12-22,2025-12-23
86,5623,2024-02-24,Credit,0.0,NetBanking,Failed,2024-02-24,2024-02-25
87,25739,2026-01-28,Debit,47927.47,NetBanking,Failed,2026-01-28,2026-01-29
88,68556,2025-02-16,Debit,5426.03,NetBanking,Failed,2025-02-16,2025-02-17
89,49741,2024-10-03,Debit,44643.42,ATM,Success,2024-10-03,2024-10-04
90,57489,2026-12-07 19:18:46.871131,Credit,26452.59,ATM,Success,2026-12-07 19:18:46.871131,2026-12-08 19:18:46.871131
91,38380,2024-10-20,Credit,13208.3,ATM,Success,2024-10-20,2024-10-21
92,40546,2025-04-19,Credit,32316.47,NetBanking,Success,2025-04-19,2025-04-20
93,16845,2024-05-21,Debit,0.0,NetBanking,Failed,2024-05-21,2024-05-22
94,46046,2025-10-07,Debit,42910.41,ATM,Failed,2025-10-07,2025-10-08
95,62581,2024-12-19,Debit,44557.1,NetBanking,Success,2024-12-19,2024-12-20
96,1361,2025-11-30,Credit,4852.84,UPI,Success,2025-11-30,2025-12-01
97,21643,2024-03-08,Debit,41702.84,ATM,Success,2024-03-08,2024-03-09
98,46841,2026-01-13,Debit,-100.0,ATM,Success,2026-01-13,2026-01-14
99,3708,2025-03-03,Debit,26554.23,ATM,Success,2025-03-03,2025-03-04
100,43170,2026-06-11 19:18:46.871131,Debit,18658.59,NetBanking,Failed,2026-06-11 19:18:46.871131,2026-06-12 19:18:46.871131
101,965,2025-07-22,Debit,31538.93,NetBanking,Success,2025-07-22,2025-07-23
102,37054,2025-09-23,Credit,260.72,NetBanking,Success,2025-09-23,2025-09-24
103,10673,2024-04-21,Debit,28234.35,UPI,Success,2024-04-21,2024-04-22
104,22493,2025-05-02,Debit,9053.86,NetBanking,Failed,2025-05-02,2025-05-03
105,68862,2024-08-13,Debit,2125.07,ATM,Success,2024-08-13,2024-08-14
106,916,2025-09-14,Debit,326.95,UPI,Failed,2025-09-14,2025-09-15
107,55730,2026-05-06 19:18:46.871131,Credit,0.0,ATM,Success,2026-05-06 19:18:46.871131,2026-05-07 19:18:46.871131
108,17605,2027-05-05 19:18:46.871131,Debit,18171.1,ATM,Failed,2027-05-05 19:18:46.871131,2027-05-06 19:18:46.871131
109,21534,2025-02-25,Credit,40189.16,ATM,Failed,2025-02-25,2025-02-26
110,36812,2027-05-23 19:18:46.871131,Debit,32932.58,NetBanking,Failed,2027-05-23 19:18:46.871131,2027-05-24 19:18:46.871131
111,26669,2024-10-09,Debit,-100.0,UPI,Failed,2024-10-09,2024-10-10
112,51328,2025-02-14,Credit,46995.96,UPI,Failed,2025-02-14,2025-02-15
113,13091,2025-10-10,Credit,28120.41,NetBanking,Failed,2025-10-10,2025-10-11
114,27371,2026-01-02,Debit,27855.45,UPI,Success,2026-01-02,2026-01-03
115,50070,2024-03-13,Credit,5996.87,ATM,Success,2024-03-13,2024-03-14
116,50406,2025-07-16,Debit,2797.13,NetBanking,Success,2025-07-16,2025-07-17
117,45458,2024-12-10,Debit,9947.01,UPI,Success,2024-12-10,2024-12-11
118,69743,2026-11-12 19:18:46.871131,Debit,491.14,UPI,Failed,2026-11-12 19:18:46.871131,2026-11-13 19:18:46.871131
119,27646,2027-03-30 19:18:46.871131,Credit,0.0,UPI,Failed,2027-03-30 19:18:46.871131,2027-03-31 19:18:46.871131
120,20266,2026-01-08,Credit,12981.89,UPI,Failed,2026-01-08,2026-01-09
121,44083,2026-02-28 19:18:46.871131,Credit,39554.25,UPI,Failed,2026-02-28 19:18:46.871131,2026-03-01 19:18:46.871131
122,42622,2024-07-19,Credit,0.0,ATM,Failed,2024-07-19,2024-07-20
123,69477,2024-09-01,Debit,38590.89,NetBanking,Failed,2024-09-01,2024-09-02
124,66756,2027-02-25 19:18:46.871131,Debit,-100.0,NetBanking,Success,2027-02-25 19:18:46.871131,2027-02-26 19:18:46.871131
125,8833,2024-08-26,Debit,41081.92,UPI,Success,2024-08-26,2024-08-27
126,20572,2024-06-20,Credit,40331.33,UPI,Success,2024-06-20,2024-06-21
127,45844,2024-05-20,Debit,0.0,UPI,Success,2024-05-20,2024-05-21
128,56682,2027-04-29 19:18:46.871131,Credit,0.0,UPI,Success,2027-04-29 19:18:46.871131,2027-04-30 19:18:46.871131
129,11871,2025-03-19,Debit,29359.26,UPI,Success,2025-03-19,2025-03-20
130,33847,2026-01-01,Credit,29691.54,NetBanking,Failed,2026-01-01,2026-01-02
131,27786,2024-06-12,Debit,47280.77,UPI,Success,2024-06-12,2024-06-13
132,68985,2024-12-24,Debit,492.96,UPI,Failed,2024-12-24,2024-12-25
133,38836,2026-10-30 19:18:46.871131,Debit,28194.65,NetBanking,Failed,2026-10-30 19:18:46.871131,2026-10-31 19:18:46.871131
134,10584,2026-02-06,Credit,0.0,UPI,Success,2026-02-06,2026-02-07
135,33414,2026-01-27,Debit,20737.68,UPI,Failed,2026-01-27,2026-01-28
136,7438,2027-03-04 19:18:46.871131,Debit,18767.67,NetBanking,Success,2027-03-04 19:18:46.871131,2027-03-05 19:18:46.871131
137,5121,2025-05-16,Debit,48007.5,NetBanking,Failed,2025-05-16,2025-05-17
138,7225,2026-08-03 19:18:46.871131,Credit,-100.0,ATM,Failed,2026-08-03 19:18:46.871131,2026-08-04 19:18:46.871131
139,50081,2025-06-18,Credit,0.0,ATM,Success,2025-06-18,2025-06-19
140,31298,2026-05-04 19:18:46.871131,Credit,29434.12,ATM,Failed,2026-05-04 19:18:46.871131,2026-05-05 19:18:46.871131
141,29328,2025-09-02,Debit,44923.84,NetBanking,Success,2025-09-02,2025-09-03
142,8431,2024-12-14,Debit,37560.85,UPI,Success,2024-12-14,2024-12-15
143,3704,2025-06-06,Debit,38415.85,NetBanking,Success,2025-06-06,2025-06-07
144,59125,2026-10-16 19:18:46.871131,Debit,43058.42,ATM,Failed,2026-10-16 19:18:46.871131,2026-10-17 19:18:46.871131
145,41308,2025-03-31,Credit,33349.2,ATM,Failed,2025-03-31,2025-04-01
146,14590,2025-05-15,Debit,0.0,UPI,Success,2025-05-15,2025-05-16
147,46047,2025-09-04,Credit,0.0,UPI,Failed,2025-09-04,2025-09-05
148,35063,2025-02-16,Debit,0.0,ATM,Success,2025-02-16,2025-02-17
149,36097,2024-09-18,Credit,4974.48,NetBanking,Success,2024-09-18,2024-09-19
150,55688,2026-05-25 19:18:46.871131,Credit,25839.88,UPI,Failed,2026-05-25 19:18:46.871131,2026-05-26 19:18:46.871131
151,64935,2024-04-07,Debit,9591.68,UPI,Success,2024-04-07,2024-04-08
152,5134,2025-01-30,Credit,47555.9,NetBanking,Failed,2025-01-30,2025-01-31
153,31108,2025-08-25,Credit,-100.0,UPI,Failed,2025-08-25,2025-08-26
154,30012,2026-11-29 19:18:46.871131,Debit,46727.22,UPI,Success,2026-11-29 19:18:46.871131,2026-11-30 19:18:46.871131
155,34795,2024-02-23,Debit,32763.54,ATM,Success,2024-02-23,2024-02-24
156,34709,2024-08-04,Debit,42940.55,NetBanking,Failed,2024-08-04,2024-08-05
157,11113,2025-01-24,Debit,-100.0,ATM,Failed,2025-01-24,2025-01-25
158,27746,2027-01-20 19:18:46.871131,Credit,28154.0,NetBanking,Failed,2027-01-20 19:18:46.871131,2027-01-21 19:18:46.871131
159,45232,2025-08-05,Debit,16910.08,ATM,Success,2025-08-05,2025-08-06
160,57463,2025-06-11,Credit,25023.41,ATM,Success,2025-06-11,2025-06-12
161,24131,2024-09-01,Credit,0.0,UPI,Failed,2024-09-01,2024-09-02
162,22298,2024-02-25,Debit,37251.74,NetBanking,Success,2024-02-25,2024-02-26
163,14551,2024-04-24,Debit,41619.54,NetBanking,Failed,2024-04-24,2024-04-25
164,30026,2025-05-10,Credit,0.0,NetBanking,Failed,2025-05-10,2025-05-11
165,39160,2027-01-27 19:18:46.871131,Credit,23890.88,NetBanking,Success,2027-01-27 19:18:46.871131,2027-01-28 19:18:46.871131
166,28625,2025-06-21,Debit,38568.92,NetBanking,Success,2025-06-21,2025-06-22
167,61496,2025-01-11,Debit,23992.05,NetBanking,Failed,2025-01-11,2025-01-12
168,55458,2025-08-14,Debit,5244.84,ATM,Failed,2025-08-14,2025-08-15
169,31772,2025-10-27,Credit,20025.17,UPI,Success,2025-10-27,2025-10-28
170,16373,2025-05-29,Debit,26254.5,NetBanking,Success,2025-05-29,2025-05-30
171,2954,2024-05-10,Credit,7775.09,NetBanking,Success,2024-05-10,2024-05-11
172,14261,2027-04-05 19:18:46.871131,Debit,8442.53,ATM,Success,2027-04-05 19:18:46.871131,2027-04-06 19:18:46.871131
173,46063,2025-01-30,Debit,0.0,UPI,Success,2025-01-30,2025-01-31
174,53481,2025-12-18,Credit,-100.0,ATM,Failed,2025-12-18,2025-12-19
175,47771,2025-11-27,Debit,22820.03,UPI,Success,2025-11-27,2025-11-28
176,16370,2025-02-28,Credit,25968.34,NetBanking,Success,2025-02-28,2025-03-01
177,68807,2026-10-10 19:18:46.871131,Credit,6067.53,ATM,Success,2026-10-10 19:18:46.871131,2026-10-11 19:18:46.871131
178,68145,2026-02-11,Debit,48374.96,ATM,Failed,2026-02-11,2026-02-12
179,3810,2026-05-05 19:18:46.871131,Credit,3855.56,NetBanking,Failed,2026-05-05 19:18:46.871131,2026-05-06 19:18:46.871131
180,52355,2025-07-17,Credit,31605.56,NetBanking,Failed,2025-07-17,2025-07-18
181,17706,2027-03-14 19:18:46.871131,Credit,8795.52,ATM,Success,2027-03-14 19:18:46.871131,2027-03-15 19:18:46.871131
182,26459,2024-10-22,Credit,11715.6,ATM,Success,2024-10-22,2024-10-23
183,44591,2024-02-18,Credit,28291.62,NetBanking,Success,2024-02-18,2024-02-19
184,2635,2025-11-18,Credit,42458.75,UPI,Failed,2025-11-18,2025-11-19
185,38348,2025-04-11,Credit,27940.58,UPI,Failed,2025-04-11,2025-04-12
186,64333,2025-12-24,Debit,12744.65,UPI,Failed,2025-12-24,2025-12-25
187,24398,2025-06-30,Credit,1257.32,NetBanking,Success,2025-06-30,2025-07-01
188,67931,2024-04-21,Credit,-100.0,NetBanking,Success,2024-04-21,2024-04-22
189,13213,2025-08-03,Debit,0.0,UPI,Failed,2025-08-03,2025-08-04
190,28928,2025-05-16,Credit,0.0,UPI,Success,2025-05-16,2025-05-17
191,63511,2024-09-08,Credit,0.0,NetBanking,Failed,2024-09-08,2024-09-09
192,2543,2026-01-04,Credit,-100.0,ATM,Failed,2026-01-04,2026-01-05
193,66239,2027-01-01 19:18:46.871131,Debit,25868.97,UPI,Success,2027-01-01 19:18:46.871131,2027-01-02 19:18:46.871131
194,35011,2024-07-22,Debit,24086.01,ATM,Failed,2024-07-22,2024-07-23
195,42269,2025-05-21,Debit,18255.64,NetBanking,Failed,2025-05-21,2025-05-22
196,5970,2025-02-13,Credit,1131.1,ATM,Success,2025-02-13,2025-02-14
197,55399,2025-06-13,Debit,-100.0,NetBanking,Failed,2025-06-13,2025-06-14
198,5894,2024-05-03,Credit,30052.93,UPI,Success,2024-05-03,2024-05-04
199,53309,2025-01-01,Credit,48516.42,ATM,Failed,2025-01-01,2025-01-02
200,13013,2025-10-02,Debit,0.0,ATM,Success,2025-10-02,2025-10-03
201,1225,2024-09-21,Debit,1669.51,ATM,Failed,2024-09-21,2024-09-22
202,13138,2024-03-01,Debit,-100.0,ATM,Success,2024-03-01,2024-03-02
203,57312,2024-07-30,Credit,23336.01,UPI,Failed,2024-07-30,2024-07-31
204,62150,2027-06-25 19:18:46.871131,Credit,45938.52,NetBanking,Failed,2027-06-25 19:18:46.871131,2027-06-26 19:18:46.871131
205,5088,2024-03-11,Debit,20230.53,UPI,Success,2024-03-11,2024-03-12
206,10140,2026-04-09 19:18:46.871131,Debit,15731.3,ATM,Failed,2026-04-09 19:18:46.871131,2026-04-10 19:18:46.871131
207,48962,2025-04-23,Credit,36217.64,ATM,Failed,2025-04-23,2025-04-24
208,37497,2025-12-31,Credit,19586.98,ATM,Success,2025-12-31,2026-01-01
209,14045,2025-12-19,Debit,47806.59,ATM,Success,2025-12-19,2025-12-20
210,26596,2024-02-21,Credit,28982.53,UPI,Success,2024-02-21,2024-02-22
211,13857,2024-08-03,Debit,-100.0,ATM,Failed,2024-08-03,2024-08-04
212,664,2024-08-26,Credit,4885.14,UPI,Success,2024-08-26,2024-08-27
213,44220,2024-09-23,Credit,0.0,ATM,Success,2024-09-23,2024-09-24
214,27808,2025-10-16,Debit,0.0,NetBanking,Success,2025-10-16,2025-10-17
215,40328,2024-08-04,Credit,-100.0,NetBanking,Success,2024-08-04,2024-08-05
216,48999,2026-09-29 19:18:46.871131,Credit,47256.34,ATM,Failed,2026-09-29 19:18:46.871131,2026-09-30 19:18:46.871131
